slug;school_id;korpus_id;walk_min;walk_m
ays-tauers;osm-312-shkola-1536;osm-312-shkola-1536-2;25;1865
ays-tauers;osm-230-kadetskaya-shkola-internat-69;osm-230-kadetskaya-shkola-internat-69-1;25;1884
ays-tauers;osm-0-shkola-1;osm-0-shkola-1-1;26;1915
ays-tauers;osm-610-shkola-324-zhar-ptitsa;osm-610-shkola-324-zhar-ptitsa-1;26;1931
ays-tauers;shkola-58;shkola-58-1;26;1944
ays-tauers;osm-259-shkola-11;osm-259-shkola-11-1;26;1960
ays-tauers;osm-468-shkola-1119;osm-468-shkola-1119-1;26;1983
ays-tauers;sunts-mgu-shkola-internat-im-a-n-kolmogorova;sunts-mgu-shkola-internat-im-a-n-kolmogorova-1;27;2001
ays-tauers;universitetskaya-gimnaziya-mgu-imeni-m-v-lomonosova;universitetskaya-gimnaziya-mgu-imeni-m-v-lomonosova-1;27;2027
ays-tauers;shkola-1434-ramenki;shkola-1434-ramenki-1;27;2050
ays-tauers;shkola-1205;shkola-1205-3;30;2233
ays-tauers;shkola-1498-moskovskaya-mezhdunarodnaya-shkola;shkola-1498-moskovskaya-mezhdunarodnaya-shkola-2;30;2246
azarovo;lomonosovskaya-shkola-pansion-5;lomonosovskaya-shkola-pansion-5-1;21;1553
badaevskiy;shkola-67;shkola-67-5;2;129
badaevskiy;osm-326-shkola-1232;osm-326-shkola-1232-2;4;334
badaevskiy;osm-616-shkola-pri-posolstve-indii;osm-616-shkola-pri-posolstve-indii-1;9;670
badaevskiy;shkola-56-imeni-akademika-v-a-legasova;shkola-56-imeni-akademika-v-a-legasova-2;10;724
badaevskiy;osm-157-shkola-1465-imeni-admirala-n;osm-157-shkola-1465-imeni-admirala-n-1;12;877
badaevskiy;shkola-tehnologii-obucheniya;shkola-tehnologii-obucheniya-1;18;1378
badaevskiy;shkola-1234;shkola-1234-2;24;1767
badaevskiy;shkola-1241-na-krasnoy-presne;shkola-1241-na-krasnoy-presne-1;25;1898
badaevskiy;osm-36-shkola-viktoriya;osm-36-shkola-viktoriya-1;25;1908
badaevskiy;osm-568-pushkinskaya-gimnaziya-na-pres;osm-568-pushkinskaya-gimnaziya-na-pres-1;28;2131
badaevskiy;shkola-1231-im-v-d-polenova;shkola-1231-im-v-d-polenova-6;29;2208
badaevskiy;chastnaya-shkola-zolotoe-sechenie;chastnaya-shkola-zolotoe-sechenie-1;30;2233
balans;shkola-777-im-e-v-mihaylova;shkola-777-im-e-v-mihaylova-5;16;1171
balans;shkola-na-yugo-vostoke-im-v-i-chuykova;shkola-na-yugo-vostoke-im-v-i-chuykova-1;23;1689
