slug;name;name_short;dev_id;developer;class;class_zayavlen;class_why;class_declared;class_disputed;okrug;district;address;lat;lon;geo_precision;type;units_total;units_per_floor;floors;ceilings_m;parking;stage;deadline_initial;deadline;price_from_m2;price_median_m2;price_check;penthouses;penthouse_flag;architect;facade;energy_class;escrow;maintenance_rub_m2;website;sources;updated;p01;p02;p03;p04;p05;p06;p07;p08;p09;pasport;pasport_why;school_min;school_name;nota_school_min;nota_school_name;nota_15;marked_min;marked_name;marked_20;lots;lot_min_m2;lot_min_price;lots_median_m2;lots_date;has_foto;rynok
insayder;Инсайдер (Insider);Инсайдер;rks-development;РКС Девелопмент;бизнес;бизнес;минус к классу: плотность, паркинг;бизнес;;ЮАО;Даниловский;ул. Автозаводская, 24;55.70554;37.63403;адрес;апартаменты;909;;18;2.95;228;строится;;3 кв. 2026;427400;;;;;;;;;;https://insiderhome.ru/;"mskguru.ru/novostroyki/4889-apartamentyy-insajjder | novostroev.ru/novostroyki/moskva/uao/biznes-class/ https://insiderhome.ru/apartments https://insiderhome.ru/ https://novostroev.ru/novostroyki/moskva/uao/danilovskiy/insider/ добор 04/05: этажность — наш.дом.рф, объекты ЕИСЖС (47486) 24.09.2026; квартиры, машиноместа, потолки — https://novostroev.ru/novostroyki/moskva/uao/danilovskiy/insider/ 24.09.2026";23.09.2026;да;нет;да;нет;нет;да;нет;нет;да;Без отметки;минусы: окружение, плотность, машина, сроки дома, юридика;15;Школа № 548 «Царицыно»;21;Школа № 547;0;;;0;357;29.3;14776460;;23.09.2026;да;первичка
peyv;ПЕЙВ (PAVE);ПЕЙВ;forma;Forma;бизнес;премиум;понижен: не дотягивает до класса «премиум» по двум и более признакам — плотность, паркинг;бизнес (mskguru) / премиум (novostroev);да;ЮАО;Даниловский;2-й Павелецкий пр-д, 4/6;55.71335;37.64327;адрес;квартиры;848;;35;;504;строится;;4 кв. 2028;626976;;цены со скидкой застройщика (без скидки — выше);;;;;;;;https://forma.ru/market/projects/pave;mskguru.ru/novostroyki/5150-zhk-pave | novostroev.ru/novostroyki/moskva/uao/biznes-class/ https://forma.ru/market/projects/pave https://forma.ru/market/list добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (67424 +1) 24.09.2026;23.09.2026;да;да;да;нет;нет;да;да;да;да;Отметка;минусы: плотность, машина;9;Школа № 547;9;Школа № 547;2;;;0;93;33.2;24016537;;23.09.2026;да;первичка
the-lot-by-akvilon;THE LOT by Akvilon;THE LOT by Akvilon;gruppa-akvilon;Группа Аквилон;бизнес;премиум;понижен: не дотягивает до класса «премиум» по двум и более признакам — паркинг, потолки;бизнес (mskguru) / премиум (novostroev);да;ЮАО;Даниловский;Жуков проезд;55.72284;37.63940;адрес;квартиры;516;12;46;3.00;69;строится;;3 кв. 2029;586500;;;да;да;;;;;;;"mskguru.ru/novostroyki/5217-zhk-the-lot-by-akvilon | novostroev.ru/novostroyki/moskva/uao/biznes-class/ https://novostroev.ru/novostroyki/moskva/uao/danilovskiy/the-lot-by-akvilon/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (69431) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/uao/danilovskiy/the-lot-by-akvilon/ 24.09.2026";23.09.2026;да;нет;да;да;нет;да;да;да;да;Отметка;минусы: окружение, машина;5;Школа № 627 им. Д.Д. Лелюшенко;5;Школа № 627 им. Д.Д. Лелюшенко;3;;;0;;28.2;20800000;;23.09.2026;да;первичка
five-towers;Five Towers;Five Towers;sz-5-donskoy;СЗ 5 Донской;премиум;элитный;понижен: не дотягивает до класса «элитный» по двум и более признакам — адрес, плотность, паркинг, потолки;бизнес (novostroev) / элит (mskguru) / премиум;да;ЮАО;Донской;5-й Донской пр-д, 21;55.70083;37.59384;адрес;квартиры;596;9;80;3.05;188;строится;;3 кв. 2026;526900;;цена не бьётся с классом;да;да;;;;;;https://thefive.ru/;mskguru.ru/novostroyki/1016-zhk-neskuchnyj-home-spa | novostroev.ru/novostroyki/moskva/start-prodazh/ https://novostroev.ru/novostroyki/moskva/uao/donskoy/five-towers/ добор 04/05: этажность, квартиры, машиноместа, квартир на этаже, потолки — наш.дом.рф, объекты ЕИСЖС (32274) 24.09.2026;23.09.2026;нет;да;да;нет;нет;нет данных;нет;да;нет;Без отметки;минусы: адрес и класс, плотность, машина, сроки дома, цена против класса;15;СОШ № 198;17;Школа № 630 им. Г.П. Кравченко;0;;;0;;38;24700000;;23.09.2026;да;первичка
life-varshavskaya;LIFE-Варшавская;LIFE-Варшавская;gk-pioner;ГК Пионер;бизнес;бизнес;;бизнес;;ЮАО;Москворечье-Сабурово;1-й Котляковский пер., 2А;55.65391;37.63388;адрес;квартиры;220;8;24;2.87;2095;строится;;4 кв. 2026;499300;;;;;;;;;;https://www.pioneer.ru/;"mskguru.ru/novostroyki/1217-zhk-life-varshavskaja-lajf-varshavskaja | novostroev.ru/novostroyki/moskva/uao/biznes-class/ https://novostroev.ru/novostroyki/moskva/uao/moskvoreche-saburovo/tpu-varshavskaya/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (41213) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/uao/moskvoreche-saburovo/tpu-varshavskaya/ 24.09.2026";23.09.2026;да;да;нет;да;да;да;да;не применяется;да;Отметка;минусы: повседневность;14;Школа № 1579;14;Школа № 1579;1;;;0;21;25.5;19300000;;23.09.2026;да;первичка
river-park;Ривер Парк;Ривер Парк;mssz-aeon;МССЗ / AEON;бизнес;бизнес;минус к классу: плотность, потолки;бизнес;;ЮАО;Нагатинский Затон;ул. Речников;55.68171;37.69386;адрес;квартиры;2214;5;18;2.70;2500;строится;;I кв. 2026;327800;;;;;;;;;;;"mskguru.ru/novostroyki/654-river-park (координаты approx) https://novostroev.ru/novostroyki/moskva/uao/nagatinskiy-zaton/river-park/ добор 04/05: этажность, квартиры, машиноместа — наш.дом.рф, объекты ЕИСЖС (25794) 24.09.2026; квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/uao/nagatinskiy-zaton/river-park/ 24.09.2026";23.09.2026;да;да;да;нет;да;нет данных;да;нет;да;Без отметки;красная линия: юридика;3;Школа № 1770;3;Школа № 1770;2;;;0;;;12200000;;23.09.2026;да;первичка
tophills;TopHILLS;TopHILLS;ingrad;Ingrad;бизнес;бизнес;минус к классу: плотность;бизнес;;ЮАО;Нагорный;ул. Ремизова;55.67713;37.59880;адрес;квартиры;1208;8;29;;;сдан, есть остатки;;сдан;441200;;;;;;;;;;https://www.ingrad.ru/;"mskguru.ru/novostroyki/1424-zhk-highland | novostroev.ru/novostroyki/moskva/uao/biznes-class/ https://novostroev.ru/novostroyki/moskva/uao/nagornyy/v-elektrolitnom-proezde/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (50156 +6) 24.09.2026; квартир на этаже — https://novostroev.ru/novostroyki/moskva/uao/nagornyy/v-elektrolitnom-proezde/ 24.09.2026";23.09.2026;да;да;да;нет;нет данных;да;да;не применяется;да;Отметка;минусы: плотность;4;Школа 541;13;Школа № 626 им. Н.И. Сац;2;26;Академическая школа № 1534;0;;35;21800000;;23.09.2026;да;первичка и вторичка
twelve;Twelve (Твелв);Twelve;tekta-group;TEKTA GROUP;бизнес;бизнес;минус к классу: плотность, паркинг;бизнес;;ЮАО;Нагорный;Электролитный пр-д, 12;55.67329;37.61886;адрес;квартиры;934;12;30;3.60;372;сдан, есть остатки;;сдан;495300;;;;;;;;;;https://twelve.ru/;"mskguru.ru/novostroyki/4971-zhk-twelve | novostroev.ru/novostroyki/moskva/uao/biznes-class/ https://twelve.ru/flats https://novostroev.ru/novostroyki/moskva/uao/nagornyy/elektrolitnyy-12b/ https://tekta.ru/search добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (53658) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/uao/nagornyy/elektrolitnyy-12b/ 24.09.2026";23.09.2026;да;нет;да;нет;нет;да;да;не применяется;да;Присмотреться;минусы: окружение, плотность, машина;7;Школа № 1450 «Олимп»;7;Школа № 1450 «Олимп»;1;;;0;129;27.8;15245520;;23.09.2026;да;первичка и вторичка
rotterdam;Rotterdam;Rotterdam;gk-fsk;ГК ФСК;бизнес;бизнес;минус к классу: паркинг;бизнес;;ЮАО;Нагатино-Садовники;Варшавское ш., 37а/1;55.68730;37.62589;адрес;квартиры;803;;32;3.02;286;сдан, есть остатки;;сдан;474042;;;;;;;;;;https://fsk.ru/rotterdam;"mskguru.ru/novostroyki/4826-zhk-rotterdam | novostroev.ru/novostroyki/moskva/uao/biznes-class/ https://fsk.ru/rotterdam/flats https://fsk.ru/rotterdam https://novostroev.ru/novostroyki/moskva/uao/nagatino-sadovniki/rotterdam/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (43709 +1) 24.09.2026; машиноместа, потолки — https://novostroev.ru/novostroyki/moskva/uao/nagatino-sadovniki/rotterdam/ 24.09.2026";23.09.2026;да;да;нет;да;нет;да;да;не применяется;да;Отметка;минусы: повседневность, машина;11;Международный инновационный образовательный центр;19;Школа № 630 им. Г.П. Кравченко;0;;;0;22;27;20147994;;23.09.2026;да;первичка и вторичка
wow;WOW;WOW;strana-development;Страна Девелопмент;бизнес;бизнес;минус к классу: паркинг;бизнес;;ЮАО;Даниловский;пр-т Андропова, 23;55.67831;37.66501;адрес;квартиры;668;;21;3.00;399;сдан, есть остатки;;сдан;474600;;;;;;;;;;;"mskguru.ru/novostroyki/4854-zhk-andropova-23 | novostroev.ru/novostroyki/moskva/uao/biznes-class/ (координаты approx) https://novostroev.ru/novostroyki/moskva/uao/danilovskiy/wow/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (45596) 24.09.2026; машиноместа, потолки — https://novostroev.ru/novostroyki/moskva/uao/danilovskiy/wow/ 24.09.2026";23.09.2026;да;да;да;да;нет;да;да;не применяется;да;Отметка;минусы: машина;8;Школа № 1527;8;Школа № 1527;4;;;0;;75.6;47800000;;23.09.2026;да;первичка и вторичка
simvol;Символ;Символ;donstroy;Донстрой;бизнес;бизнес;минус к классу: плотность;бизнес;;ЮВАО;Лефортово;ул. Золоторожский Вал, 11;55.75166;37.68688;адрес;квартиры;4000;10;29;3.00;10000;строится;;2 кв. 2029;506000;;цены со скидкой застройщика (без скидки — выше);;;;;;;;https://simvol-kvartal.ru/;"mskguru.ru/novostroyki/775-zhk-simvol | novostroev.ru/novostroyki/moskva/uvao/lefortovo/simvol/ https://donstroy.moscow/full-search/ https://donstroy.moscow/objects/simvol/ добор 04/05: этажность, квартиры, квартир на этаже — наш.дом.рф, объекты ЕИСЖС (69775 +22) 24.09.2026; потолки — https://novostroev.ru/novostroyki/moskva/uvao/lefortovo/simvol/ 24.09.2026";23.09.2026;да;нет;да;нет;да;да;да;да;да;Отметка;минусы: окружение, плотность;7;Лицей №1303;18;Школа «Содружество»;0;;;0;326;28;18120960;;23.09.2026;да;первичка
