slug;name;developer;class;district;address;has_img
ahead;Ahead (Эхэд);Vos'hod;премиум;Филёвский Парк;район метро Филёвский парк;
forum;Форум (Forum);MR Group;премиум;Мещанский;Садовая-Сухаревская ул., вл. 14;
dom-franka;Дом Франка;Трансстройинвест;премиум;Мещанский;Мещанский переулок;
slava;Слава (Slava);MR Group;элитный;Беговой;Ленинградский проспект, вл. 8;
badaevskiy;Бадаевский;Capital Group;элитный;Дорогомилово;Кутузовский проспект, 12;
era;Эра (Era);ТЕКТА ГРУПП;элитный;Даниловский;Дербеневская набережная;
shift;Шифт (SHIFT);ГК Пионер;элитный;Донской;2-й Донской проезд, 10;
tishinskiy-bulvar;Тишинский бульвар;Sminex;элитный;Пресненский;Электрический переулок, Тишинский бульвар;
muza;Муза (MUSE);ГК Мангазея;элитный;Аэропорт;Красноармейская ул., 11;
nikol;Николь (Nicole);MR Group;делюкс;Тверской;район метро Площадь Революции;
kosmo-4-22;Космо 4/22;Галс-Девелопмент;делюкс;Замоскворечье;Космодамианская набережная, 4/22;
artel;Артель;Stenoy;премиум;Преображенское;Электрозаводская ул.;
reka;Река (клубный дом);Донстрой;элитный;Раменки;район метро Мичуринский проспект;
springs;Спрингс (Springs);UNIQ Development;элитный;Фили-Давыдково;;
dostizhenie;Достижение;Sminex;премиум;Марфино;;
26-parkvyu;26 Парквью;MR Group;премиум;Тимирязевский;ул. Тимирязевская;
demidov-26;Демидов 26;Оникс-Девелопмент;премиум;Басманный;;
king-end-sans;Кинг энд Санс (King & Sons);October Group;элитный;Раменки;Мосфильмовская ул., 31А;
dom-a;Дом А;Брусника;премиум;Даниловский;Дубининская ул., 59к5;
aurus-rezidentsii;Аурус Резиденции;ГК Страна Девелопмент;премиум;Пресненский;2-й Красногвардейский проезд;
one;ОНЕ (ONE);MR Group;премиум;Пресненский;1-й Красногвардейский проезд, Москва-Сити;
ays-tauers;Айс Тауэрс (ICE Towers);Град Девелопмент;премиум;Проспект Вернадского;;
deko-rezidens;Деко Резиденс;;премиум;Даниловский;;
gloraks-premium-belorusskaya;Глоракс Премиум Белорусская;GloraX;премиум;Беговой;;
sikret-garden;Сикрет Гарден;ГК КОРТРОС;премиум;Обручевский;;
quartier-d-or;Quartier d'Or (Картьер д'Ор);RARITECO;делюкс;Замоскворечье;ул. Большая Татарская, 21;
obydenskiy-1;Обыденский №1;Sminex;делюкс;Хамовники;3-й Обыденский пер., вл. 1, стр. 1;
lavrushinskiy;Лаврушинский;Sminex;делюкс;Якиманка;Большой Толмачёвский пер., 5;
palashevskiy-11;Палашёвский 11;Sminex;делюкс;Тверской;Большой Палашёвский пер., 11-13;
ilinka-3-8;Ильинка 3/8;Sminex;делюкс;Тверской;ул. Ильинка, 3/8;
rozhdestvenka-8;Рождественка 8;Sminex;делюкс;Мещанский;ул. Рождественка, 8;
fon-dessin;Фон Дессин (Fon Dessin);Sminex;делюкс;Басманный;Потаповский пер., 5, стр. 4;
frunzenskiy;Фрунзенский;Sminex;элитный;Хамовники;Фрунзенская наб., 30;
gorodskaya-usadba-v-orlovo-davydovskom;Городская усадьба в Орлово-Давыдовском;Sminex;элитный;Мещанский;Орлово-Давыдовский пер., 2;
vesper-pogodinskaya;Vesper Погодинская;Vesper;делюкс;Хамовники;ул. Погодинская, вл. 24, стр. 1, 2;
levenson;Левенсон (Levenson);Vesper;делюкс;Пресненский;Трёхпрудный пер., 9;
vesper-kutuzovsky;Vesper Kutuzovsky (ODA Gallery);Vesper;элитный;Дорогомилово;Кутузовский пр-т;
uzory;Узоры;Capital Alliance (СЗ Вражский);делюкс;Хамовники;2-й Вражский пер., 8, стр. 2;
luce;LUCE (Люче);MR Group;делюкс;Арбат;Крестовоздвиженский пер., 4;
clos-17;CLOS 17;MR Group;делюкс;Арбат;;
veil;Veil (Роден);MR Group;делюкс;Басманный;Большой Харитоньевский пер., 13А, стр. 10;
kazachiy;Казачий;MR Group;элитный;Якиманка;1-й Казачий пер., 10, стр. 1;
monblan;Монблан;Галс-Девелопмент;элитный;Замоскворечье;Шлюзовая наб., 2/1;
bolshaya-tatarskaya-35;Большая Татарская 35;Донстрой;элитный;Замоскворечье;ул. Большая Татарская, вл. 35;
dom-xxii;ДОМ XXII;Донстрой;делюкс;Хамовники;ул. Ефремова;
khamovniki-12;Хамовники 12;COLDY;делюкс;Хамовники;1-й пер. Тружеников, 12;
bolshoy-kozikhinskiy-22;Большой Козихинский 22;Dominanta / COLDY;делюкс;Пресненский;Большой Козихинский пер., 22;
savvinskaya-27;Саввинская 27;Level Group;элитный;Хамовники;Саввинская наб., 27;
levshinskiy-19;Левшинский 19 (Your MAJESTY);СЗ Смоленский бульвар;элитный;Хамовники;Большой Левшинский пер., 19;
pyzhevskiy;Пыжевский;TEKTA GROUP;делюкс;Замоскворечье;Пыжевский пер.;
russkie-sezony;Русские Сезоны;СЗ ЭКРАН;делюкс;Замоскворечье;Большая Ордынка / Пятницкая / Климентовский пер.;
sadovnicheskaya-69;Садовническая 69;ГК Балчуг Девелопмент;элитный;Замоскворечье;Садовническая ул., 69;
krasnyy-oktyabr;Красный Октябрь;ГУТА-Девелопмент;элитный;Якиманка;Берсеневская наб., 5, стр. 1;
malaya-ordynka-14;Малая Ордынка 14;ГУТА-Девелопмент;делюкс;Замоскворечье;ул. Малая Ордынка, 14;
duo;DUO;Hutton Development;делюкс;Якиманка;Софийская наб., 34, стр. 3;
cult;CULT (Клубный дом Культ);GRAVION;элитный;Якиманка;Ленинский пр-т, 2;
armani-casa-moscow-residences;Armani/Casa Moscow Residences;Vos'hod;делюкс;Якиманка;Старомонетный пер., 19/11;
la-belle-maison;LA BELLE MAISON;GBK GROUP;элитный;Якиманка;;
nikitskiy-6;Никитский 6;СЗ Третий Рим;делюкс;Арбат;Никитский бул., 6/20;
eden;EDEN;Sense Development;делюкс;Арбат;Нижний Кисловский пер., 7;
dom-sporta;Дом спорта;Capital Group;делюкс;Пресненский;;
bolshaya-nikitskaya-16;Большая Никитская 16;R4S Group;делюкс;Пресненский;ул. Большая Никитская, 16;
stella-di-mosca;Stella di Mosca;;делюкс;Пресненский;ул. Большая Никитская, 9/15, стр. 1;
kamerger;Камергер;Engeo Development;элитный;Тверской;;
enigmiya;Энигмия;Upside Development;элитный;Тверской;;
kuznetskiy-most-12;Кузнецкий Мост 12;KR Properties;элитный;Тверской;ул. Кузнецкий Мост, 12;
