school_id;school;in_nota_base;type;tier;building;lat;lon;source;osm_id
osm-344-kadetskaya-shkola-1784;Кадетская школа № 1784;нет;Другая;;Кадетская школа № 1784;55.780277;37.568195;OpenStreetMap, корпус;r7103213
osm-345-shkola-352;Школа №352;нет;Другая;;Школа №352;55.832229;37.664069;OpenStreetMap, корпус;w119072133
osm-346-shkola-426;Школа №426;нет;Другая;;Школа №426;55.624485;37.719216;OpenStreetMap, корпус;r1650088
osm-347-shkola-166;Школа №166;нет;Другая;;Школа №166;55.903676;37.584329;OpenStreetMap, корпус;w122100436
osm-348-shkola-302;Школа №302;нет;Другая;;Школа №302;55.880620;37.579467;OpenStreetMap, корпус;r5713481
osm-349-shkola-1168;Школа №1168;нет;Другая;;Школа №1168;55.849014;37.409266;OpenStreetMap, корпус;w122804844
osm-350-shkola-1416;Школа №1416;нет;Другая;;ГБОУ Школа № 1416 корпус № 2;55.892423;37.580997;OpenStreetMap, корпус;w124797791
osm-350-shkola-1416;Школа №1416;нет;Другая;;ГБОУ Школа № 1416 корпус № 1;55.895441;37.581435;OpenStreetMap, корпус;w125204844
osm-350-shkola-1416;Школа №1416;нет;Другая;;Школа №1416;55.893564;37.581304;OpenStreetMap, корпус;w125204845
osm-351-shkola-1253;Школа 1253;нет;Другая;;Школа 1253;55.765598;37.506496;OpenStreetMap, корпус;w126880529
osm-351-shkola-1253;Школа 1253;нет;Другая;;Школа № 1253. Начальная и средняя школа;55.763314;37.511639;OpenStreetMap, корпус;r20199344
osm-352-shkola-180;Школа №180;нет;Другая;;Школа №180;55.889582;37.610625;OpenStreetMap, корпус;w128056568
osm-353-shkola-225;Школа №225;нет;Другая;;Школа №225;55.824626;37.515322;OpenStreetMap, корпус;w128263509
osm-354-shkola-619;Школа №619;нет;Другая;;Школа №619;55.807667;37.788577;OpenStreetMap, корпус;w128754879
osm-355-shkola-462;Школа №462;нет;Другая;;Школа №462;55.715747;37.673301;OpenStreetMap, корпус;w129584044
osm-356-shkola-internat-9;Школа-интернат №9;нет;Другая;;Школа-интернат №9;55.695187;37.752385;OpenStreetMap, корпус;w129691146
osm-357-gimnaziya-9;Гимназия № 9;нет;Другая;;Гимназия № 9;55.897554;37.453940;OpenStreetMap, корпус;w190430436
osm-358-shkola-9;Школа №9;нет;Другая;;Школа №9;55.947596;37.511520;OpenStreetMap, корпус;w111986551
osm-359-shkola-9;Школа № 9;нет;Другая;;Школа № 9;55.678821;37.250280;OpenStreetMap, корпус;r11062272
osm-360-tsentr-obrazovaniya-1441-bronn;Центр образования №1441«Бронная слобода»;нет;Другая;;Центр образования №1441«Бронная слобода»;55.762145;37.597321;OpenStreetMap, корпус;r1751600
osm-361-shkola-1216;Школа №1216;нет;Другая;;Школа №1216;55.735002;37.672405;OpenStreetMap, корпус;w130278483
osm-362-shkola-313;Школа №313;нет;Другая;;Школа №313;55.879522;37.703921;OpenStreetMap, корпус;w130998381
osm-363-shkola-16;Школа № 16;нет;Другая;;Школа № 16;55.695621;37.328289;OpenStreetMap, корпус;w131069518
osm-364-gimnaziya-16;Гимназия №16;нет;Другая;;Гимназия №16;55.890634;37.476476;OpenStreetMap, корпус;w161416892
osm-365-shkola-16;Школа №16;нет;Другая;;Школа №16;55.816675;37.366667;OpenStreetMap, корпус;w376003126
osm-366-shkola-16;Школа № 16;нет;Другая;;Школа № 16;55.959784;37.522833;OpenStreetMap, корпус;w421765099
